scale,event_type,budget_sec,algorithm,n_rows,solved_rate,objective_mean,objective_std,objective_median,makespan_mean,makespan_std,latency_p95_mean
M,mixed,0.5,GA,5,1.000000,89.518640,7.246826,87.599257,89.518640,7.246826,0.517371
M,mixed,0.5,LNS,5,1.000000,85.285213,6.616181,86.337938,85.285213,6.616181,0.513982
M,mixed,0.5,MOEA-NSGA2,5,1.000000,87.436834,6.164512,86.744393,87.436834,6.164512,0.515705
M,mixed,0.5,MOR,5,1.000000,98.688375,7.804036,100.122255,98.688375,7.804036,0.000010
M,mixed,0.5,MachineRank,5,1.000000,88.486920,1.172222,87.874390,88.486920,1.172222,0.000126
M,mixed,0.5,SA,5,1.000000,94.583753,10.009642,92.508158,94.583753,10.009642,0.514400
M,mixed,1.0,B-CORE,5,1.000000,76.361847,6.036979,77.839603,76.361847,6.036979,0.000332
M,mixed,1.0,B-CORE-no-bottleneck,5,1.000000,75.433679,3.397153,75.528266,75.433679,3.397153,0.000325
M,mixed,1.0,B-CORE-no-graph,5,1.000000,76.361847,6.036979,77.839603,76.361847,6.036979,0.000326
M,mixed,1.0,DCGA,5,1.000000,77.606726,8.933280,75.197757,77.606726,8.933280,1.013398
M,mixed,1.0,GA,5,1.000000,84.921445,6.264731,83.088602,84.921445,6.264731,1.011540
M,mixed,1.0,LNS,5,1.000000,83.405408,4.981044,85.481943,83.405408,4.981044,1.014109
M,mixed,1.0,MOEA-NSGA2,5,1.000000,81.352228,6.280432,81.735936,81.352228,6.280432,1.016981
M,mixed,1.0,MOR,5,1.000000,98.688375,7.804036,100.122255,98.688375,7.804036,0.000010
M,mixed,1.0,MachineRank,5,1.000000,88.486920,1.172222,87.874390,88.486920,1.172222,0.000131
M,mixed,1.0,SA,5,1.000000,89.632162,6.433079,92.508158,89.632162,6.433079,1.014921
M,mixed,10.0,B-CORE,5,1.000000,76.361847,6.036979,77.839603,76.361847,6.036979,0.000280
M,mixed,10.0,B-CORE-no-bottleneck,5,1.000000,75.433679,3.397153,75.528266,75.433679,3.397153,0.000261
M,mixed,10.0,B-CORE-no-graph,5,1.000000,76.361847,6.036979,77.839603,76.361847,6.036979,0.000276
M,mixed,10.0,DCGA,5,1.000000,68.736510,5.993450,68.270279,68.736510,5.993450,10.015018
M,mixed,10.0,GA,5,1.000000,70.631491,8.599157,68.379333,70.631491,8.599157,10.013758
M,mixed,10.0,LNS,5,1.000000,74.615762,2.554235,75.579333,74.615762,2.554235,9.386079
M,mixed,10.0,MOEA-NSGA2,5,1.000000,72.859098,1.602129,73.208495,72.859098,1.602129,10.011857
M,mixed,10.0,MOR,5,1.000000,98.688375,7.804036,100.122255,98.688375,7.804036,0.000009
M,mixed,10.0,MachineRank,5,1.000000,88.486920,1.172222,87.874390,88.486920,1.172222,0.000120
M,mixed,10.0,SA,5,1.000000,79.624633,3.137702,78.748221,79.624633,3.137702,9.452957
M,mixed,5.0,B-CORE,5,1.000000,76.361847,6.036979,77.839603,76.361847,6.036979,0.000312
M,mixed,5.0,B-CORE-no-bottleneck,5,1.000000,75.433679,3.397153,75.528266,75.433679,3.397153,0.000310
M,mixed,5.0,B-CORE-no-graph,5,1.000000,76.361847,6.036979,77.839603,76.361847,6.036979,0.000308
M,mixed,5.0,DCGA,5,1.000000,73.947374,5.668458,73.736524,73.947374,5.668458,5.011572
M,mixed,5.0,GA,5,1.000000,75.538567,7.276827,76.691160,75.538567,7.276827,5.013440
M,mixed,5.0,LNS,5,1.000000,75.986840,6.819204,74.198984,75.986840,6.819204,5.012547
M,mixed,5.0,MOEA-NSGA2,5,1.000000,76.450920,5.811277,77.769470,76.450920,5.811277,5.015794
M,mixed,5.0,MOR,5,1.000000,98.688375,7.804036,100.122255,98.688375,7.804036,0.000011
M,mixed,5.0,MachineRank,5,1.000000,88.486920,1.172222,87.874390,88.486920,1.172222,0.000120
